Feature,Coefficient,Absolute_Coefficient
worst texture,-1.2550880416901335,1.2550880416901335
radius error,-1.0829653362483995,1.0829653362483995
worst concave points,-0.9536863642145681,0.9536863642145681
worst area,-0.9477559027621609,0.9477559027621609
worst radius,-0.9476161496027741,0.9476161496027741
worst symmetry,-0.9391814052053217,0.9391814052053217
area error,-0.9291040183411344,0.9291040183411344
worst concavity,-0.82315064626714,0.82315064626714
worst perimeter,-0.7632200724438892,0.7632200724438892
worst smoothness,-0.7466248092149409,0.7466248092149409
mean concave points,-0.7041564891955361,0.7041564891955361
mean compactness,0.6483415872660664,0.6483415872660664
compactness error,0.647226557630872,0.647226557630872
mean concavity,-0.6021029069732803,0.6021029069732803
mean texture,-0.5526977534575259,0.5526977534575259
perimeter error,-0.5443332277221019,0.5443332277221019
mean area,-0.5410592418248752,0.5410592418248752
mean radius,-0.5114790108849712,0.5114790108849712
mean perimeter,-0.4762978856101166,0.4762978856101166
concave points error,-0.44378423599806166,0.44378423599806166
fractal dimension error,0.43789426057957126,0.43789426057957126
symmetry error,0.36049155541961064,0.36049155541961064
texture error,0.24882301055625292,0.24882301055625292
mean smoothness,-0.21247927490644833,0.21247927490644833
mean fractal dimension,0.19973173298708985,0.19973173298708985
worst fractal dimension,-0.18725079733765987,0.18725079733765987
mean symmetry,-0.1672327296082439,0.1672327296082439
concavity error,0.16056252377741162,0.16056252377741162
smoothness error,-0.16027571018544207,0.16027571018544207
worst compactness,0.05551412476313567,0.05551412476313567
