feature,importance
worst area,0.1382937105421916
worst concave points,0.13299292012064703
worst radius,0.10080490063901094
mean concave points,0.09848916183294591
worst perimeter,0.07222359634599082
mean perimeter,0.06861218888995724
mean radius,0.0674645517876788
mean concavity,0.057444875562809534
mean area,0.05061514794160303
worst concavity,0.03154448761782205
area error,0.030238728050706532
worst texture,0.019618441624635816
worst compactness,0.01634585369733271
radius error,0.015785808611010428
worst smoothness,0.013631967489643885
mean compactness,0.012018583897029873
mean texture,0.010861317367675392
perimeter error,0.010224378696019512
worst symmetry,0.00807843226254198
compactness error,0.0070819938291498555
worst fractal dimension,0.006091780103050643
mean smoothness,0.00539452391847432
fractal dimension error,0.004675322609012711
texture error,0.003959769495563017
concavity error,0.0032092649703921025
smoothness error,0.003050129077270087
mean fractal dimension,0.00287124572017143
concave points error,0.00286636888531408
mean symmetry,0.0028139295406528304
symmetry error,0.002696618873695597
